C:\Users\pemoz\AppData\Local\Temp\tmpxmtdistt.jpg,a dog is standing in a field with a frisbee
C:\Users\pemoz\AppData\Local\Temp\tmphk8i0s_6.jpg,a dog is standing on a grassy field
C:\Users\pemoz\AppData\Local\Temp\tmpap9a0w3d.jpg,a dog is standing on a grassy field
C:\Users\pemoz\AppData\Local\Temp\tmp08tfvyjd.jpg,a dog is standing on a grassy field
C:\Users\pemoz\AppData\Local\Temp\tmpw06oa_7c.jpg,a dog is standing on a leash in a field
C:\Users\pemoz\AppData\Local\Temp\tmp8s421n4g.jpg,a dog is standing in a field with a frisbee
C:\Users\pemoz\AppData\Local\Temp\tmp3_z38iwf.jpg,a dog is standing on a bed in a field
C:\Users\pemoz\AppData\Local\Temp\tmppytm6izh.jpg,a dog is laying on a green field
C:\Users\pemoz\AppData\Local\Temp\tmp_h9eyn3_.jpg,a dog is standing in a field with a frisbee
C:\Users\pemoz\AppData\Local\Temp\tmpywwlckh8.jpg,a dog is standing on a grassy field
C:\Users\pemoz\AppData\Local\Temp\tmpiy05i8b7.jpg,a dog is standing on a green field
C:\Users\pemoz\AppData\Local\Temp\tmpnluk2vfv.jpg,a dog is standing on a grassy field
C:\Users\pemoz\AppData\Local\Temp\tmp944s58je.jpg,a dog is laying on a bed in a field
C:\Users\pemoz\AppData\Local\Temp\tmp944s58je.jpg,a dog laying on top of a green field
